spanish,english,category,notes
estudiar,to study,verb,
yo estudio,i study,verb,presente
mucho,much,adjective,
esas/esos,those,demonstrative,"proximity: over there, yours (plural)"
estas/estes,these,demonstrative,"proximity: here, mine (plural)"
aquel/aquella,that,demonstrative,proximity: over/out there (singular)
ese/esa,that,demonstrative,"proximity: over there, yours (singular)"
este/esta,this,demonstrative,"proximity: here, mine (singular)"
semana,week,noun,
qué tal,how was,,
nadar,to swim,verb,
correr,to run,verb,
el deporte,sport,noun,
inglaterra,england,noun,
alemania,germany,noun,
gustar,to like,verb,
ellos/ellas,they,pronoun,
ningún/ninguna,none,adjective,
ninguno/ninguna,none,pronoun,
alguno/alguna,some,,
pero,but,,
la playa,the beach,noun,
nosotros,we,pronoun,
en,in,,
vivir,to live,verb,
tú vives,you live,verb,
yo vivo,i live ,verb,
disfrutar,to enjoy,verb,
yo disfruto,i enjoy,verb,
qué,what,,
dónde,where,,
hermano,brother,noun,
cuántos,how many,,
tener,to have,verb,
yo tengo,i have,verb,
tú tienes,you have,verb,
tú estuviste,you were,,to be (past)
antes,before,,
elegir,to choose,verb,
tú elegiste,you chose,verb,past tense
yo elegí,i chose,verb,past tense
porque,because,,
que,that,,introduces clause
por qué,why,,
padre/madre,father/mother,noun,
yo estuve,i have been,verb,to be (past)
ciudad,city,noun,
españa,spain,noun,
hacer,to do,verb,
trabajar,to work,verb,
yo trabajo,i work,verb,
querer,to want,verb,
tú quieres,you want,verb,
yo quiero ,i want,verb,
año,year,noun,
él/ella,he/she,pronoun,
estar,to be,verb,temporary
ser,to be,verb,permanent
vosotros,you,pronoun,plural
mascota,pet,noun,
estudiante,student,noun,
universidad,university,noun,
venir,to come,verb,
país,country,noun,
tuve,i had,verb,
hoy ,today,noun,
todavia,yet/still,,
vacaciones,vacation/holiday,noun,
